time,X_value,Y_value,Z_value
64.259,-7.86235,14.01341,-2.98920
64.375,-7.80709,14.25158,-2.97753
64.518,-7.82562,14.56160,-2.99300
64.555,-7.87754,14.81362,-3.01793
64.676,-7.97069,15.28124,-3.06353
64.796,-7.93835,15.69385,-3.06655
64.890,-7.98274,15.86931,-3.08712
65.009,-7.94376,16.23363,-3.02949
65.099,-8.04214,16.57646,-3.06630
65.157,-8.04204,16.73995,-2.87197
65.276,-7.87528,16.62182,-2.64462
65.408,-7.60749,15.89773,-2.51695
65.456,-7.47523,15.40811,-2.45934
65.576,-7.10255,14.11367,-2.34670
65.696,-7.25279,13.38025,-2.48728
65.765,-7.49619,13.28264,-2.60260
65.878,-8.15937,13.61868,-2.67097
65.997,-8.10753,14.18739,-2.50216
66.083,-7.80836,14.27581,-2.32109
66.177,-7.21137,13.86314,-1.93997
66.345,-7.12579,13.03782,-1.78654
66.376,-7.17624,12.73445,-1.77272
66.477,-7.34770,12.48584,-1.80794
66.597,-7.56656,12.89023,-1.92487
66.657,-7.49815,13.30557,-1.91586
66.777,-7.33129,14.05347,-1.84172
66.897,-7.49102,13.65011,-1.82210
