time,X_value,Y_value,Z_value
6.667,0.94712,0.85489,1.42874
6.675,-0.03843,-0.29885,-0.79183
6.700,-0.04298,-0.30118,-0.79174
6.701,-0.20943,0.26695,-2.54922
6.731,-0.34771,0.41136,0.40042
6.731,-0.34771,0.41136,0.40042
6.731,-0.57553,-0.69450,-0.58994
6.737,-0.39165,0.05187,0.07595
6.744,1.78280,0.22657,-0.05685
6.755,0.27446,0.43726,-0.32978
6.769,0.03131,-0.64933,-4.22909
6.781,0.07380,3.14220,1.79668
6.786,0.47727,3.30178,3.19360
6.807,0.55463,-0.31903,-1.55816
6.816,1.41442,-1.36549,-1.87718
6.830,0.57139,-0.55451,0.27231
6.853,-0.37228,0.86761,3.21577
6.853,-0.51127,0.27839,2.67387
6.857,0.35478,-1.59239,-3.59953
6.873,0.30018,-1.53721,-3.59318
6.883,1.00884,-0.83463,-1.27761
6.899,1.39732,-0.03907,-1.30844
6.909,1.03356,1.11604,1.05867
6.926,-0.67728,-0.11441,0.12888
6.926,-0.67728,-0.11441,0.12888
6.936,-0.04114,-0.92305,-0.79451
6.956,0.00564,-0.32526,-0.58615
6.957,-1.30401,0.38376,2.65455
6.998,-0.95283,-0.31527,-0.28976
6.998,-0.23541,0.66694,1.12725
6.998,-0.25319,0.68380,1.12955
7.003,0.78209,-1.01790,0.97462
7.021,1.46166,-0.89622,-1.84530
7.026,0.75848,0.01334,-0.34046
7.048,0.71759,0.01114,-0.33597
7.048,0.40634,-0.09421,-0.71904
7.058,-0.09489,0.63198,-0.59904
7.070,0.21592,0.88893,0.76478
7.088,-0.05601,-0.42450,-0.46584
7.098,-0.17395,1.31132,1.15210
7.100,-1.55086,-0.02844,-1.48817
